code,zips,income,level
1015,30002,56750.0,zips
1016,30004,107423.0,zips
1017,30005,127340.0,zips
1018,30008,45907.0,zips
1019,30009,79933.0,zips
1020,30011,60469.0,zips
1021,30012,40631.0,zips
1022,30013,55763.0,zips
1023,30014,46718.0,zips
1024,30016,56324.0,zips
1025,30017,87500.0,zips
1026,30019,90891.0,zips
1027,30021,32349.0,zips
1028,30022,103228.0,zips
1029,30024,103533.0,zips
1030,30025,59522.0,zips
1031,30028,79043.0,zips
1032,30030,77789.0,zips
1033,30032,36660.0,zips
1034,30033,67462.0,zips
1035,30034,47890.0,zips
1036,30035,43998.0,zips
1037,30038,50931.0,zips
1038,30039,63935.0,zips
1039,30040,90925.0,zips
1040,30041,104202.0,zips
1041,30043,72728.0,zips
1042,30044,57334.0,zips
1043,30045,73475.0,zips
1044,30046,45874.0,zips
1045,30047,67897.0,zips
1046,30052,65993.0,zips
1047,30054,59929.0,zips
1048,30055,66848.0,zips
1049,30056,49844.0,zips
1050,30058,48811.0,zips
1051,30060,41130.0,zips
1052,30062,94437.0,zips
1053,30064,83375.0,zips
1054,30066,91364.0,zips
1055,30067,55681.0,zips
1056,30068,108105.0,zips
1057,30070,26000.0,zips
1058,30071,43951.0,zips
1059,30072,48571.0,zips
1060,30075,109786.0,zips
1061,30076,72719.0,zips
1062,30078,72207.0,zips
1063,30079,44706.0,zips
1064,30080,65159.0,zips
1065,30082,74180.0,zips
1066,30083,37871.0,zips
1067,30084,61938.0,zips
1068,30087,71833.0,zips
1069,30088,48283.0,zips
1070,30092,63446.0,zips
1071,30093,37862.0,zips
1072,30094,65269.0,zips
1073,30096,50771.0,zips
1074,30097,99904.0,zips
1075,30101,83534.0,zips
1076,30102,62051.0,zips
1077,30103,43093.0,zips
1078,30104,55833.0,zips
1079,30106,47659.0,zips
1080,30107,72695.0,zips
1081,30108,38676.0,zips
1082,30110,43178.0,zips
1083,30113,42328.0,zips
1084,30114,66756.0,zips
1085,30115,82759.0,zips
1086,30116,49179.0,zips
1087,30117,40228.0,zips
1088,30120,54257.0,zips
1089,30121,53614.0,zips
1090,30122,50905.0,zips
1091,30126,71208.0,zips
1092,30127,76150.0,zips
1093,30132,65043.0,zips
1094,30134,51295.0,zips
1095,30135,70020.0,zips
1096,30137,47411.0,zips
1097,30139,46331.0,zips
1098,30141,60361.0,zips
1099,30143,64679.0,zips
1100,30144,64754.0,zips
1101,30145,64332.0,zips
1102,30148,41496.0,zips
1103,30152,82674.0,zips
