geoid,name,B19013001,"B19013001, Error"
16000US1304000,"Atlanta, GA",59948,1259
86000US30030,"30030",86698,5546
86000US30032,"30032",40485,1849
86000US30033,"30033",82726,4702
86000US30080,"30080",72066,2239
86000US30082,"30082",76327,7234
86000US30126,"30126",83934,5818
86000US30288,"30288",54002,9226
86000US30297,"30297",36480,2108
86000US30303,"30303",20909,7735
86000US30305,"30305",99556,11022
86000US30306,"30306",108973,6009
86000US30307,"30307",105912,4478
86000US30308,"30308",69795,7875
86000US30309,"30309",92105,7488
86000US30310,"30310",34398,2585
86000US30311,"30311",31512,3009
86000US30312,"30312",57740,5380
86000US30313,"30313",60906,11715
86000US30314,"30314",28148,2711
86000US30315,"30315",29287,1938
86000US30316,"30316",72143,5995
86000US30317,"30317",83815,6756
86000US30318,"30318",52245,3322
86000US30319,"30319",104435,6535
86000US30322,"30322",,
86000US30324,"30324",74438,3367
86000US30326,"30326",87422,12682
86000US30327,"30327",155219,14416
86000US30329,"30329",58658,3523
86000US30331,"30331",48347,3646
86000US30332,"30332",,
86000US30334,"30334",,
86000US30336,"30336",,
86000US30337,"30337",36665,3068
86000US30339,"30339",83365,4072
86000US30342,"30342",91740,10638
86000US30344,"30344",43332,2530
86000US30349,"30349",51736,3757
86000US30354,"30354",41299,3738
86000US30363,"30363",58702,6949
