,upz_id,x_coord,y_coord,zat_id,upz_name,local_name,local_id,population,median_income,circle_id,lat,lon,overlap_wrt_circle,overlap_wrt_upz
0,1,-74.036631,4.796238,959,PASEO DE LOS LIBERTADORES,USAQUEN,1,0,0,156,4.774,-74.0218,0.15065259925167543,0.07576187752833093
1,1,-74.036631,4.796238,959,PASEO DE LOS LIBERTADORES,USAQUEN,1,0,0,140,4.774,-74.0395,0.5072613971811339,0.2550973301422126
2,1,-74.036631,4.796238,959,PASEO DE LOS LIBERTADORES,USAQUEN,1,0,0,159,4.822,-74.0308,0.21251290099529868,0.10687088346547116
3,1,-74.036631,4.796238,959,PASEO DE LOS LIBERTADORES,USAQUEN,1,0,0,142,4.806,-74.0395,0.2592592347660902,0.13037920679764758
4,1,-74.036631,4.796238,959,PASEO DE LOS LIBERTADORES,USAQUEN,1,0,0,141,4.79,-74.0485,0.00530043011146583,0.0026655400500691043
5,1,-74.036631,4.796238,959,PASEO DE LOS LIBERTADORES,USAQUEN,1,0,0,158,4.806,-74.0218,0.10929640447945839,0.05496420806272651
6,1,-74.036631,4.796238,959,PASEO DE LOS LIBERTADORES,USAQUEN,1,0,0,157,4.79,-74.0308,0.5842900034145109,0.2938343440445215
7,2,-74.052473,4.774961,8,LA ACADEMIA,SUBA,11,0,0,123,4.806,-74.0571,0.037412736403488314,0.01661437056301532
8,2,-74.052473,4.774961,8,LA ACADEMIA,SUBA,11,0,0,142,4.806,-74.0395,0.18874765887556808,0.08381967877569912
9,2,-74.052473,4.774961,8,LA ACADEMIA,SUBA,11,0,0,121,4.774,-74.0571,0.6060950212496273,0.26915666287647033
10,2,-74.052473,4.774961,8,LA ACADEMIA,SUBA,11,0,0,141,4.79,-74.0485,0.9404754496385679,0.4176494190961324
11,2,-74.052473,4.774961,8,LA ACADEMIA,SUBA,11,0,0,157,4.79,-74.0308,0.0014908370112458216,0.0006620557846067325
12,2,-74.052473,4.774961,8,LA ACADEMIA,SUBA,11,0,0,140,4.774,-74.0395,0.2673629917737488,0.11873143338831817
13,3,-74.045132,4.81758,960,GUAYMARAL,SUBA,11,24896,6,143,4.822,-74.0485,0.7736337516169562,0.5206026679942946
